g1,g2,g3,g4,g5,g6,r1,r2,r3,r4,r5,r6
soare,stoop,snout,,,,gynnn,gygnn,ggggg,,,
soare,prove,trope,,,,nynyg,yggng,ggggg,,,
soare,deter,fever,fewer,,,nnnyy,ngngg,ggngg,ggggg,,
soare,slant,scald,shawl,,,gngnn,gygnn,gngyn,ggggg,,
soare,natal,,,,,nnynn,ggggg,,,,
soare,there,fibre,,,,nnngg,nnngg,ggggg,,,
soare,nomad,comma,,,,ngynn,nggyn,ggggg,,,
soare,moral,foray,,,,ngyyn,ngggn,ggggg,,,
soare,scare,,,,,gnggg,ggggg,,,,
soare,stair,,,,,gngyn,ggggg,,,,
soare,clank,black,,,,nngnn,yggng,ggggg,,,
soare,sauna,squad,,,,gnynn,gygnn,ggggg,,,
soare,moral,royal,,,,ngyyn,ngygg,ggggg,,,
soare,lunch,chunk,,,,nnnnn,nyyyy,ggggg,,,
soare,guile,wince,mince,,,nnnng,nnyng,ngggg,ggggg,,
soare,slate,slave,,,,gngng,gggng,ggggg,,,
soare,slate,spade,shake,shame,,gngng,gngng,gngng,gggng,ggggg,
soare,betel,cheek,,,,nnnny,nyngn,ggggg,,,
soare,angle,ample,,,,nnyng,gnngg,ggggg,,,
soare,drawn,flair,,,,nngyn,nygnn,ggggg,,,
soare,rower,hover,poker,goner,foyer,ngnyy,ngngg,ngngg,ngngg,ngngg,ggggg
soare,baron,cargo,,,,nyyyn,nggyn,ggggg,,,
soare,clone,oxide,,,,nynng,nnyng,ggggg,,,
soare,clank,bland,plant,,,nngnn,ngggn,ngggn,ggggg,,
soare,clone,olive,,,,nynng,ngyng,ggggg,,,
soare,ferry,inert,,,,nnngy,nyngn,ggggg,,,
soare,essay,askew,,,,ynyny,ygnyn,ggggg,,,
soare,guest,heist,,,,ynnny,nnygg,ggggg,,,
soare,stoop,showy,shown,,,gynnn,gngnn,ggggn,ggggg,,
soare,guest,zesty,,,,ynnny,nnyyy,ggggg,,,
soare,nasty,hasty,,,,ynynn,ngggg,ggggg,,,
soare,crass,trash,,,,yngyn,ngggn,ggggg,,,
soare,pleat,bagel,fella,,,nnyny,nyyyn,nynyy,ggggg,,
soare,radar,karma,larva,,,nnyyn,ygnyn,nggng,ggggg,,
soare,north,world,forgo,,,ngnyn,nggnn,nggnn,ggggg,,
soare,short,story,,,,gyngn,gnggy,ggggg,,,
soare,harry,hairy,,,,nnygn,ggngg,ggggg,,,
soare,drawn,train,,,,nngyn,nggng,ggggg,,,
soare,rower,hover,homer,,,ngnyy,ngngg,ggngg,ggggg,,
soare,angle,gauze,badge,,,nnyng,ynyng,ygnng,ggggg,,
soare,mushy,midst,,,,ynnnn,gnynn,ggggg,,,
soare,natal,candy,canny,,,nnynn,ygnnn,gggng,ggggg,,
soare,guest,fetus,,,,ynnny,nyyyy,ggggg,,,
soare,lunch,dutch,butch,,,nnnnn,ngngg,ngggg,ggggg,,
soare,barge,farce,,,,nnyyg,nggng,ggggg,,,
soare,stink,slung,,,,gnnnn,gnngn,ggggg,,,
soare,mushy,tipsy,,,,ynnnn,nnyng,ggggg,,,
soare,pleat,metal,,,,nnyny,nyygy,ggggg,,,
soare,betel,yield,,,,nnnny,nynny,ggggg,,,
soare,guile,delve,,,,nnnng,nnnyg,ggggg,,,
soare,betel,being,,,,nnnny,ggnnn,ggggg,,,
soare,scour,,,,,gynyn,ggggg,,,,
soare,clash,glass,,,,yngnn,ngggn,ggggg,,,
soare,later,parer,gamer,,,nnyyy,ngngg,ngngg,ggggg,,
soare,scrap,,,,,gnyyn,ggggg,,,,
soare,motel,money,,,,ngnny,ggngn,ggggg,,,
soare,guile,hinge,,,,nnnng,ynyng,ggggg,,,
soare,natal,album,,,,nnynn,nynny,ggggg,,,
soare,donut,vouch,,,,ngnnn,ngnyn,ggggg,,,
soare,essay,asset,,,,ynyny,yggyn,ggggg,,,
soare,award,tiara,,,,nnggn,ynggn,ggggg,,,
soare,deter,crept,,,,nnnyy,nyyny,ggggg,,,
soare,bloat,bayou,,,,nyynn,gnyyn,ggggg,,,
soare,bloat,atoll,,,,nyynn,nygyy,ggggg,,,
soare,baron,manor,,,,nyyyn,ngygy,ggggg,,,
soare,later,bread,creak,,,nnyyy,nynyy,ngggn,ggggg,,
soare,stoop,showy,,,,gynnn,gngnn,ggggg,,,
soare,cease,abase,phase,,,yngng,nnggg,nnggg,ggggg,,
soare,front,froth,,,,nynyn,gggny,ggggg,,,
soare,betel,depth,,,,nnnny,ngynn,ggggg,,,
soare,blood,gloom,,,,nynnn,ngggn,ggggg,,,
soare,blood,flood,,,,nynnn,ngggg,ggggg,,,
soare,drawn,craft,trait,,,nngyn,nggnn,nggng,ggggg,,
soare,trick,girth,,,,nnnyn,yyynn,ggggg,,,
soare,betel,edict,piety,,,nnnny,nyynn,ynyny,ggggg,,
soare,later,parer,paper,payer,,nnyyy,ngngg,ggngg,ggngg,ggggg,
soare,poise,louse,goose,,,ygnng,ngngg,ngngg,ggggg,,
soare,bloat,float,,,,nyynn,ngggg,ggggg,,,
soare,north,round,donor,,,ngnyn,ygynn,ygnyy,ggggg,,
soare,anode,alone,atone,,,nyyng,gygng,gnggg,ggggg,,
soare,front,primo,,,,nynyn,ngynn,ggggg,,,
soare,baron,apron,,,,nyyyn,nyggg,ggggg,,,
soare,blood,blown,,,,nynnn,gggnn,ggggg,,,
soare,bloat,cacao,,,,nyynn,nnygn,ggggg,,,
soare,loser,,,,,ygnyy,ggggg,,,,
soare,lunch,unify,input,,,nnnnn,nyynn,ygynn,ggggg,,
soare,bloat,float,gloat,,,nyynn,ngggg,ngggg,ggggg,,
soare,natal,awful,,,,nnynn,nynng,ggggg,,,
soare,trick,drink,brink,,,nnnyn,nggng,ngggg,ggggg,,
soare,spine,smile,smite,,,gnnng,gngng,gggng,ggggg,,
soare,death,beady,,,,nngny,yggnn,ggggg,,,
soare,crust,rusty,,,,ynnyn,nyyyy,ggggg,,,
soare,retro,,,,,nyngy,ggggg,,,,
soare,front,droop,droll,,,nynyn,nggnn,gggnn,ggggg,,
soare,natal,bawdy,gawky,,,nnynn,ngnnn,nggng,ggggg,,
