g1,g2,g3,g4,g5,g6,r1,r2,r3,r4,r5,r6
soare,plink,plant,,,,nngnn,ggngn,ggggg,,,
soare,pling,olive,,,,nynng,nggnn,ggggg,,,
soare,feted,inert,,,,nnngy,nyynn,ggggg,,,
soare,ajwan,askew,,,,ynyny,gnynn,ggggg,,,
soare,uneth,heist,,,,ynnny,nnyyy,ggggg,,,
soare,cloot,shown,,,,gynnn,nngnn,ggggg,,,
soare,uneth,zesty,,,,ynnny,nnygn,ggggg,,,
soare,nasty,aheap,hasty,,,ynynn,ngggg,yynnn,ggggg,,
soare,bachs,trash,,,,yngyn,nynyy,ggggg,,,
soare,pleat,bandh,fella,,,nnyny,nyyyn,nynnn,ggggg,,
soare,radar,karma,larva,,,nnyyn,ygnyn,nggng,ggggg,,
soare,cyton,rough,forgo,,,ngnyn,nnnyn,ygngn,ggggg,,
soare,nicht,abysm,story,,,gyngn,nnnny,nnyyn,ggggg,,
soare,humic,hairy,,,,nnygn,gnnyn,ggggg,,,
soare,clint,train,,,,nngyn,nnyyy,ggggg,,,
soare,rewth,homer,,,,ngnyy,yynny,ggggg,,,
soare,gault,badge,,,,nnyng,ygnnn,ggggg,,,
soare,mushy,midst,,,,ynnnn,gnynn,ggggg,,,
soare,clint,canny,,,,nnynn,gnngn,ggggg,,,
soare,uneth,fetus,,,,ynnny,ynyyn,ggggg,,,
soare,clint,aband,butch,,,nnnnn,ynnny,nynnn,ggggg,,
soare,barca,farce,,,,nnyyg,ngggn,ggggg,,,
soare,thilk,slump,slung,,,gnnnn,nnnyn,gggnn,ggggg,,
soare,mushy,tipsy,,,,ynnnn,nnyng,ggggg,,,
soare,pleat,metal,,,,nnyny,nyygy,ggggg,,,
soare,denet,edify,yield,,,nnnny,yynnn,yyyny,ggggg,,
soare,culti,aahed,delve,,,nnnng,nngnn,nnnyy,ggggg,,
soare,denet,feign,being,,,nnnny,ngynn,nggyy,ggggg,,
soare,scour,,,,,gynyn,ggggg,,,,
soare,chals,glass,,,,yngnn,nngyg,ggggg,,,
soare,talar,pigmy,gamer,,,nnyyy,ngnng,nnyyn,ggggg,,
soare,cuppy,scrap,,,,gnyyn,ynynn,ggggg,,,
soare,meynt,money,,,,ngnny,gyyyn,ggggg,,,
soare,culti,hinge,,,,nnnng,nnnny,ggggg,,,
soare,clint,alpha,album,,,nnynn,ngnnn,ggnnn,ggggg,,
soare,culty,vouch,,,,ngnnn,yynnn,ggggg,,,
soare,ajwan,asset,,,,ynyny,gnnnn,ggggg,,,
soare,dhuti,tiara,,,,nnggn,nnnyy,ggggg,,,
soare,deter,crept,,,,nnnyy,nyyny,ggggg,,,
soare,bloat,bayou,,,,nyynn,gnyyn,ggggg,,,
soare,bloat,atoll,,,,nyynn,nygyy,ggggg,,,
soare,baron,manor,,,,nyyyn,ngygy,ggggg,,,
soare,talar,becke,creak,,,nnyyy,nnngy,nyyyn,ggggg,,
soare,cloot,shown,showy,,,gynnn,nngnn,ggggn,ggggg,,
soare,leuch,phase,,,,yngng,nynny,ggggg,,,
soare,cutin,throb,froth,,,nynyn,nnynn,yyyyn,ggggg,,
soare,denet,depth,,,,nnnny,ggnny,ggggg,,,
soare,clint,bloom,gloom,,,nynnn,ngnnn,ngggg,ggggg,,
soare,clint,bloom,flood,,,nynnn,ngnnn,ngggn,ggggg,,
soare,clint,trait,,,,nngyn,nnyng,ggggg,,,
soare,trick,abmho,girth,,,nnnyn,yyynn,nnnyn,ggggg,,
soare,denet,piety,,,,nnnny,nynny,ggggg,,,
soare,talar,pigmy,payer,,,nnyyy,ngnng,gnnny,ggggg,,
soare,pilum,goose,,,,ygnng,nnnnn,ggggg,,,
soare,bloat,float,,,,nyynn,ngggg,ggggg,,,
soare,cyton,donor,,,,ngnyn,nnngy,ggggg,,,
soare,bundt,atone,,,,nyyng,nnyny,ggggg,,,
soare,cutin,vigor,primo,,,nynyn,nnnyn,nynyy,ggggg,,
soare,baron,apron,,,,nyyyn,nyggg,ggggg,,,
soare,clint,blown,,,,nynnn,ngnyn,ggggg,,,
soare,bloat,cacao,,,,nyynn,nnygn,ggggg,,,
soare,loser,,,,,ygnyy,ggggg,,,,
soare,clint,input,,,,nnnnn,nnyyg,ggggg,,,
soare,bloat,float,gloat,,,nyynn,ngggg,ngggg,ggggg,,
soare,clint,dampy,awful,,,nnynn,nynnn,nynnn,ggggg,,
soare,trick,drink,brink,,,nnnyn,nggng,ngggg,ggggg,,
soare,pling,smite,,,,gnnng,nngnn,ggggg,,,
soare,letch,beady,,,,nngny,ngnnn,ggggg,,,
soare,crust,rusty,,,,ynnyn,nyyyy,ggggg,,,
soare,retro,,,,,nyngy,ggggg,,,,
soare,cutin,droop,droll,,,nynyn,nnnnn,gggnn,ggggg,,
soare,clint,midgy,gawky,,,nnynn,nnnnn,nnnyg,ggggg,,
soare,clint,aband,hutch,,,nnnnn,ynnny,nnnnn,ggggg,,
soare,clint,pinto,,,,nynnn,nnyyy,ggggg,,,
soare,clint,gaily,,,,nnynn,nygnn,ggggg,,,
soare,deter,greet,egret,,,nnnyy,nyygy,yyygg,ggggg,,
soare,clint,lilac,,,,nnynn,yyynn,ggggg,,,
soare,newie,sever,,,,gnnyy,ngnny,ggggg,,,
soare,denet,edify,field,,,nnnny,yynnn,yyyyn,ggggg,,
soare,clint,bluff,fluff,,,nnnnn,ngnnn,ngggg,ggggg,,
soare,acidy,hydro,,,,nyngn,nnnyy,ggggg,,,
soare,plink,abaft,flack,,,nngnn,ngnng,nngyn,ggggg,,
soare,glitz,agape,,,,nngng,ynnnn,ggggg,,,
